"user_id","event_id","billing_promoter_tier","in_library","is_exclusive","is_primary","is_allocation","has_deal","label","total_candidates"
"5b26259b0e0d4e5aa213aa00","6348adc2707f42000166df1d",core,true,true,false,false,true,bronze,1
"5b4df3000e0d4e19114835b2","634d6c18202aa80001a33573",max,true,false,true,false,true,gold,1
"5b4f0adca7934d643114dd6b","634820ccd1f70f00013905da",pro,true,false,true,false,true,bronze,2
"5b4f0adca7934d643114dd6b","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,2
"5b4f1b1fe20451048ec68c07","63498242aa5fa50001856b5b",pro,true,false,true,false,true,bronze,1
"5b4fbeb0e20451048ec6c696","634820ccd1f70f00013905da",pro,true,false,true,false,true,bronze,1
"5b51979a0e0d4e109f81d435","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5b54b6a2e204512dbdcd475f","6346b69c83f53d000125cae9",pro,true,true,false,false,true,bronze,2
"5b54b6a2e204512dbdcd475f","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,2
"5b583f680e0d4e6af119def2","634d6c18202aa80001a33573",max,true,false,true,false,true,gold,1
"5b59a144a7934d2ffa011065","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5b5ad6efe204513624167302","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5b62d1d7a7934d365eb6a295","6346b69c83f53d000125cae9",pro,true,true,false,false,true,bronze,1
"5b648d65e204513c861b169b","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5b905af30e0d4e77db4e744f","63498242aa5fa50001856b5b",pro,true,false,true,false,true,bronze,2
"5b905af30e0d4e77db4e744f","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,2
"5b96dde7e2045167f1f3d43d","634d1b0d202aa80001a32137",max,true,true,false,false,true,gold_plus,1
"5b9946b7a7934d4be926cd63","63498242aa5fa50001856b5b",pro,true,false,true,false,true,bronze,1
"5ba1f5afe204513eb83ce0fd","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5ba2d02a0e0d4e744eb3e374","63498242aa5fa50001856b5b",pro,true,false,true,false,true,bronze,1
"5baaa2b3e204514097c4de57","634d6c18202aa80001a33573",max,true,false,true,false,true,gold,1
"5bb608e5a7934d0e365f04b5","634820ccd1f70f00013905da",pro,true,false,true,false,true,bronze,2
"5bb608e5a7934d0e365f04b5","63498242aa5fa50001856b5b",pro,true,false,true,false,true,bronze,2
